method,scope,fold,jurisdiction,label_id,family,support,predicted_positive,true_positive,false_positive,false_negative,precision,recall,f1,status,included_in_macro_f1,reference_terminology
M1,TEST,,,ACT_RECRUITMENT,ACT,208,253,208,45,0,0.8221343873517787,1.0,0.9023861171366594,SUPPORTED,1,SHERLOC Legacy Keywords silver reference
M1,TEST,,,ACT_TRANSPORTATION,ACT,165,253,165,88,0,0.6521739130434783,1.0,0.7894736842105263,SUPPORTED,1,SHERLOC Legacy Keywords silver reference
M1,TEST,,,ACT_TRANSFER,ACT,98,236,92,144,6,0.3898305084745763,0.9387755102040817,0.5508982035928144,SUPPORTED,1,SHERLOC Legacy Keywords silver reference
M1,TEST,,,ACT_HARBOURING,ACT,122,235,121,114,1,0.5148936170212766,0.9918032786885246,0.6778711484593838,SUPPORTED,1,SHERLOC Legacy Keywords silver reference
M1,TEST,,,ACT_RECEIPT,ACT,71,150,61,89,10,0.4066666666666667,0.8591549295774648,0.5520361990950227,SUPPORTED,1,SHERLOC Legacy Keywords silver reference
M1,TEST,,,MEANS_THREAT_FORCE_OR_COERCION,MEANS,133,252,133,119,0,0.5277777777777778,1.0,0.6909090909090909,SUPPORTED,1,SHERLOC Legacy Keywords silver reference
M1,TEST,,,MEANS_ABDUCTION,MEANS,23,0,0,0,23,0.0,0.0,0.0,SUPPORTED,1,SHERLOC Legacy Keywords silver reference
M1,TEST,,,MEANS_FRAUD,MEANS,61,79,40,39,21,0.5063291139240507,0.6557377049180327,0.5714285714285714,SUPPORTED,1,SHERLOC Legacy Keywords silver reference
M1,TEST,,,MEANS_DECEPTION,MEANS,133,253,133,120,0,0.525691699604743,1.0,0.689119170984456,SUPPORTED,1,SHERLOC Legacy Keywords silver reference
M1,TEST,,,MEANS_ABUSE_OF_POWER_OR_VULNERABILITY,MEANS,154,253,154,99,0,0.6086956521739131,1.0,0.7567567567567568,SUPPORTED,1,SHERLOC Legacy Keywords silver reference
M1,TEST,,,MEANS_PAYMENTS_OR_BENEFITS_FOR_CONTROL,MEANS,28,11,4,7,24,0.36363636363636365,0.14285714285714285,0.20512820512820512,SUPPORTED,1,SHERLOC Legacy Keywords silver reference
M1,TEST,,,PURPOSE_SEXUAL_EXPLOITATION,PURPOSE,202,253,202,51,0,0.7984189723320159,1.0,0.8879120879120879,SUPPORTED,1,SHERLOC Legacy Keywords silver reference
M1,TEST,,,PURPOSE_FORCED_LABOUR_OR_SERVICES,PURPOSE,50,44,31,13,19,0.7045454545454546,0.62,0.6595744680851063,SUPPORTED,1,SHERLOC Legacy Keywords silver reference
M1,TEST,,,PURPOSE_SLAVERY_OR_SIMILAR_PRACTICES,PURPOSE,13,0,0,0,13,0.0,0.0,0.0,SUPPORTED,1,SHERLOC Legacy Keywords silver reference
M1,TEST,,,PURPOSE_SERVITUDE,PURPOSE,14,0,0,0,14,0.0,0.0,0.0,SUPPORTED,1,SHERLOC Legacy Keywords silver reference
M1,TEST,,,PURPOSE_REMOVAL_OF_ORGANS,PURPOSE,2,0,0,0,2,0.0,0.0,0.0,SUPPORTED,1,SHERLOC Legacy Keywords silver reference
